iter	Passed	Remaining
0	6	6652
1	12	6347
2	18	6308
3	24	6117
4	30	6081
5	36	6081
6	42	6044
7	48	5996
8	54	5959
9	60	5965
10	66	5964
11	72	5968
12	78	5949
13	84	5922
14	90	5929
15	96	5917
16	102	5917
17	108	5912
18	114	5929
19	121	5946
20	127	5946
21	133	5953
22	140	5954
23	146	5945
24	152	5952
25	158	5937
26	165	5951
27	171	5946
28	177	5956
29	184	5972
30	191	5988
31	198	6001
32	204	6005
33	211	6001
34	217	6004
35	224	6009
36	231	6021
37	238	6031
38	244	6031
39	251	6040
40	258	6038
41	264	6037
42	271	6037
43	278	6041
44	284	6038
45	291	6040
46	297	6038
47	304	6034
48	310	6033
49	314	5980
50	320	5970
51	327	5967
52	333	5958
53	340	5956
54	346	5956
55	352	5948
56	359	5950
57	366	5945
58	372	5945
59	378	5936
60	385	5933
61	391	5925
62	398	5919
63	404	5914
64	410	5909
65	417	5904
66	423	5897
67	430	5894
68	436	5893
69	443	5887
70	450	5888
71	456	5883
72	462	5875
73	468	5865
74	475	5860
75	481	5853
76	488	5852
77	494	5843
78	500	5840
79	507	5830
80	513	5825
81	520	5822
82	526	5817
83	532	5810
84	538	5801
85	545	5798
86	552	5794
87	559	5794
88	565	5788
89	572	5785
90	578	5780
91	585	5775
92	591	5768
93	598	5765
94	604	5762
95	611	5759
96	618	5755
97	625	5752
98	631	5750
99	638	5750
100	646	5751
101	654	5759
102	660	5753
103	667	5753
104	674	5752
105	681	5750
106	688	5748
107	696	5748
108	702	5742
109	708	5736
110	715	5732
111	722	5731
112	729	5724
113	735	5718
114	742	5714
115	749	5711
116	755	5703
117	762	5695
118	768	5690
119	775	5684
120	781	5677
121	788	5673
122	796	5678
123	806	5694
124	813	5697
125	821	5698
126	828	5693
127	835	5693
128	842	5690
129	848	5681
130	855	5673
131	861	5664
132	867	5657
133	874	5650
134	880	5642
135	887	5639
136	893	5630
137	900	5622
138	906	5614
139	912	5606
140	919	5598
141	925	5591
142	932	5585
143	938	5579
144	945	5574
145	952	5570
146	958	5563
147	965	5559
148	972	5552
149	978	5546
150	985	5539
151	991	5531
152	998	5525
153	1004	5518
154	1011	5511
155	1017	5503
156	1023	5497
157	1030	5490
158	1036	5482
159	1042	5475
160	1048	5466
161	1055	5459
162	1061	5451
163	1067	5444
164	1074	5436
165	1080	5429
166	1087	5422
167	1093	5416
168	1100	5411
169	1107	5405
170	1113	5399
171	1120	5392
172	1127	5388
173	1133	5380
174	1140	5374
175	1146	5369
176	1153	5361
177	1159	5354
178	1166	5349
179	1172	5343
180	1179	5337
181	1186	5331
182	1192	5325
183	1199	5319
184	1206	5313
185	1212	5306
186	1219	5299
187	1225	5293
188	1232	5286
189	1238	5278
190	1244	5273
191	1252	5269
192	1258	5261
193	1265	5256
194	1272	5251
195	1278	5243
196	1284	5236
197	1291	5231
198	1298	5225
199	1304	5218
200	1311	5211
201	1317	5205
202	1323	5197
203	1329	5189
204	1336	5183
205	1342	5176
206	1349	5168
207	1355	5160
208	1361	5153
209	1368	5146
210	1374	5138
211	1380	5130
212	1386	5122
213	1393	5116
214	1399	5109
215	1405	5103
216	1412	5095
217	1418	5088
218	1425	5082
219	1431	5074
220	1437	5068
221	1444	5061
222	1450	5054
223	1457	5049
224	1464	5043
225	1470	5037
226	1477	5031
227	1483	5024
228	1490	5016
229	1496	5011
230	1503	5005
231	1510	5000
232	1517	4994
233	1523	4987
234	1530	4981
235	1536	4975
236	1543	4969
237	1550	4963
238	1556	4957
239	1563	4950
240	1570	4945
241	1576	4938
242	1583	4933
243	1590	4927
244	1597	4921
245	1603	4915
246	1610	4909
247	1616	4902
248	1623	4896
249	1630	4890
250	1636	4884
251	1643	4877
252	1650	4873
253	1657	4867
254	1663	4861
255	1670	4856
256	1678	4851
257	1685	4846
258	1691	4840
259	1699	4835
260	1705	4829
261	1712	4823
262	1719	4819
263	1726	4813
264	1733	4808
265	1740	4802
266	1747	4797
267	1754	4793
268	1761	4788
269	1768	4782
270	1775	4777
271	1783	4772
272	1790	4766
273	1796	4761
274	1804	4756
275	1810	4749
276	1817	4744
277	1824	4738
278	1831	4733
279	1838	4728
280	1845	4721
281	1851	4714
282	1858	4709
283	1865	4702
284	1871	4695
285	1878	4690
286	1885	4684
287	1892	4677
288	1898	4671
289	1905	4664
290	1912	4658
291	1919	4653
292	1926	4647
293	1932	4641
294	1938	4633
295	1945	4627
296	1952	4620
297	1958	4613
298	1965	4607
299	1971	4601
300	1977	4593
301	1984	4587
302	1991	4580
303	1997	4574
304	2004	4568
305	2011	4561
306	2018	4555
307	2024	4548
308	2031	4543
309	2038	4537
310	2044	4530
311	2051	4524
312	2058	4518
313	2065	4512
314	2072	4506
315	2078	4499
316	2085	4492
317	2092	4486
318	2098	4479
319	2105	4473
320	2111	4466
321	2117	4459
322	2124	4453
323	2131	4446
324	2137	4439
325	2144	4433
326	2150	4426
327	2157	4420
328	2164	4413
329	2170	4407
330	2177	4401
331	2184	4394
332	2190	4387
333	2197	4380
334	2203	4373
335	2209	4366
336	2216	4360
337	2222	4353
338	2229	4346
339	2235	4339
340	2242	4333
341	2248	4326
342	2255	4320
343	2261	4312
344	2268	4306
345	2274	4299
346	2281	4292
347	2287	4286
348	2294	4279
349	2300	4272
350	2307	4266
351	2313	4259
352	2320	4252
353	2326	4245
354	2333	4239
355	2339	4232
356	2346	4227
357	2354	4221
358	2361	4216
359	2368	4210
360	2374	4203
361	2381	4197
362	2388	4191
363	2395	4185
364	2401	4178
365	2408	4172
366	2415	4166
367	2422	4159
368	2428	4153
369	2435	4147
370	2442	4140
371	2448	4134
372	2455	4127
373	2462	4121
374	2468	4114
375	2475	4107
376	2482	4101
377	2488	4094
378	2494	4088
379	2501	4081
380	2508	4074
381	2514	4068
382	2521	4061
383	2527	4054
384	2533	4047
385	2540	4040
386	2546	4034
387	2553	4027
388	2559	4020
389	2566	4013
390	2572	4007
391	2579	4000
392	2585	3993
393	2592	3986
394	2598	3980
395	2605	3973
396	2612	3967
397	2618	3961
398	2625	3954
399	2631	3947
400	2638	3941
401	2644	3934
402	2651	3927
403	2657	3920
404	2666	3917
405	2675	3914
406	2682	3908
407	2689	3902
408	2696	3896
409	2703	3891
410	2710	3885
411	2717	3878
412	2724	3871
413	2730	3865
414	2737	3859
415	2744	3852
416	2750	3845
417	2757	3840
418	2765	3834
419	2771	3827
420	2778	3821
421	2785	3815
422	2793	3809
423	2799	3803
424	2806	3797
425	2813	3791
426	2820	3785
427	2827	3779
428	2835	3773
429	2842	3767
430	2849	3762
431	2856	3755
432	2862	3748
433	2868	3741
434	2875	3735
435	2882	3729
436	2889	3722
437	2896	3716
438	2902	3709
439	2909	3702
440	2915	3695
441	2922	3689
442	2928	3682
443	2935	3675
444	2941	3669
445	2948	3662
446	2955	3656
447	2961	3649
448	2968	3642
449	2974	3635
450	2980	3628
451	2987	3621
452	2994	3615
453	3000	3608
454	3007	3602
455	3014	3595
456	3020	3589
457	3027	3582
458	3033	3575
459	3040	3569
460	3046	3562
461	3053	3555
462	3060	3549
463	3066	3542
464	3072	3535
465	3079	3528
466	3085	3521
467	3092	3515
468	3099	3509
469	3105	3502
470	3112	3495
471	3118	3488
472	3125	3482
473	3132	3476
474	3138	3469
475	3145	3462
476	3151	3455
477	3158	3449
478	3165	3442
479	3171	3435
480	3177	3428
481	3183	3421
482	3190	3415
483	3196	3408
484	3203	3401
485	3209	3394
486	3216	3388
487	3223	3381
488	3229	3374
